Rank (of 400),School,Type,Grades,Address,City,Zip,Is Charter,Is Magnet,Is Virtual,Is Title I,Phone
17,Dr Ronald McNair High School,Public,12-Sep,123 Coles Street,Jersey City,7302,No,(n/a),No,Yes,(201) 418-7617
18,Science Park High School,Public,12-Jul,260 Norfolk Street,Newark,7102,No,(n/a),No,Yes,(973) 733-8689
19,Academy For Performing Arts,Public,12-Sep,1776 Raritan Road,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8288
20,Bergen County Technical High School - Teterboro,Public,12-Sep,504 Route 46 West,Teterboro,7608,No,(n/a),No,No,(201) 343-6000
21,McVs Assunpink Center,Public,12-Sep,1085 Old Trenton Road,Trenton,8690,No,(n/a),No,No,(609) 586-5144
22,Summit High School,Public,12-Sep,125 Kent Place Blvd,Summit,7901,No,(n/a),No,Yes,(908) 273-1494
23,Glen Ridge High School,Public,12-Jul,200 Ridgewood Ave,Glen Ridge,7028,No,(n/a),No,No,(973) 429-8303
24,Mahwah High School,Public,12-Sep,50 Ridge Road,Mahwah,7430,No,(n/a),No,No,(201) 762-2300
25,River Dell Regional High School,Public,12-Sep,55 Pyle Street,Oradell,7649,No,(n/a),No,Yes,(201) 599-7240
26,Ridge High School,Public,12-Sep,268 South Finley Avenue,Basking Ridge,7920,No,(n/a),No,No,(908) 204-2585
27,West Morris Central High School,Public,12-Sep,259 Bartley Road,Chester,7930,No,(n/a),No,No,(908) 879-5212
28,Montclair High School,Public,12-Sep,100 Chestnut St,Montclair,7042,No,(n/a),No,No,(973) 509-4100
29,Ridgewood High School,Public,12-Sep,627 East Ridgewood Ave,Ridgewood,7451,No,(n/a),No,No,(201) 670-2800
30,Morris County School of Technology,Public,12-Sep,400 East Main Street,Denville,7834,No,(n/a),No,No,(973) 627-4600
31,Montgomery High School,Public,12-Sep,1016 Route 601,Skillman,8558,No,(n/a),No,Yes,(609) 466-7602
32,John P. Stevens High School,Public,12-Sep,855 Grove Avenue,Edison,8820,No,(n/a),No,No,(732) 452-2800
33,New Milford High School,Public,12-Sep,330 River Road,New Milford,7646,No,(n/a),No,No,(201) 262-0172
34,Bergen Arts and Sciences Charter School,"Public, Charter, Alternative",K-12,200 MacArthur Avenue,Garfield,7026,Yes,(n/a),No,Yes,(201) 773-9140
35,Pascack Hills High School,Public,12-Sep,225 West Grand Avenue,Montvale,7645,No,(n/a),No,No,(201) 358-7020
36,Millburn High School,Public,12-Sep,462 Millburn Ave,Millburn,7041,No,(n/a),No,No,(973) 564-7130
37,Livingston High School,Public,12-Sep,30 Robert Harp Drive,Livingston,7039,No,(n/a),No,Yes,(973) 535-8000
38,Moorestown High School,Public,12-Sep,350 Bridgeboro Road,Moorestown,8057,No,(n/a),No,Yes,(856) 778-6610
39,Central Jersey College Prep Charter School,"Public, Charter, Alternative",K-12,101 Mettlers Road,Somerset,8873,Yes,(n/a),No,Yes,(732) 649-3954
40,West Morris Mendham High School,Public,12-Sep,65 East Main Street,Mendham,7945,No,(n/a),No,No,(973) 543-2501
41,Ramapo High School,Public,12-Sep,331 George Street,Franklin Lakes,7417,No,(n/a),No,No,(201) 891-1500
42,Westwood Junior/Senior High School,Public,12-Aug,701 Ridgewood Road,Township Of Washington,7676,No,(n/a),No,No,(201) 664-0880
43,Cherry Hill High School East,Public,12-Sep,1750 Kresson Rd.,Cherry Hill,8003,No,(n/a),No,No,(856) 424-2222
44,Voorhees High School,Public,12-Sep,256 County Route 513,Glen Gardner,8826,No,(n/a),No,Yes,(908) 638-6116
45,Middlesex High School,Public,12-Sep,300 John F. Kennedy Drive,Middlesex,8846,No,(n/a),No,No,(732) 317-6000
46,Princeton High School,Public,12-Sep,151 Moore Street,Princeton,8540,No,(n/a),No,No,(609) 806-4280
47,Mountain Lakes High School,Public,12-Sep,96 Powerville Rd.,Mountain Lakes,7046,No,(n/a),No,No,(973) 334-8400
48,Parsippany High School,Public,12-Sep,309 Baldwin Rd,Parsippany,7054,No,(n/a),No,Yes,(973) 263-7001
49,Chatham High School,Public,12-Sep,255 Lafayette Avenue,Chatham,7928,No,(n/a),No,No,(973) 457-2505
50,Dumont High School,Public,12-Sep,101 New Milford Ave,Dumont,7628,No,(n/a),No,No,(201) 387-3000
51,Park Ridge High School,Public,12-Jul,2 Park Ave,Park Ridge,7656,No,(n/a),No,No,(201) 573-6000
52,Leonia High School,Public,12-Sep,100 Christie Heights Street,Leonia,7605,No,(n/a),No,Yes,(201) 302-5200
53,West Windsor-Plainsboro High School South,Public,12-Sep,346 Clarksville Road,West Windsor,8550,No,(n/a),No,Yes,(609) 716-5050
54,County Prep High School,Public,12-Sep,525 Montgomery Street,Jersey City,7306,No,(n/a),No,Yes,(201) 631-6302
55,North Hunterdon High School,Public,12-Sep,1445 State Route 31,Annandale,8801,No,(n/a),No,No,(908) 735-5191
56,Northern Highlands Regional High School,Public,12-Sep,298 Hillside Ave,Allendale,7401,No,(n/a),No,Yes,(201) 327-8700
57,East Orange STEM Academy High School,Public,12-Jun,129 Renshaw Avenue,East Orange,7017,No,(n/a),No,Yes,(973) 266-5900
58,Parsippany Hills High School,Public,12-Sep,20 Rita Drive,Morris Plains,7950,No,(n/a),No,No,(973) 682-2815
59,Hunterdon Central Regional High School District,Public,12-Sep,84 Route 31,Flemington,8822,No,(n/a),No,Yes,(908) 782-5727
60,Randolph High School,Public,12-Sep,511 Millbrook Avenue,Randolph,7869,No,(n/a),No,No,(973) 361-2400
61,Point Pleasant Beach High School,Public,12-Sep,700 Trenton Avenue,Point Pleasant Beach,8742,No,(n/a),No,Yes,(732) 899-1817
62,Waldwick High School,Public,12-Sep,155 Wyckoff Avenue,Waldwick,7463,No,(n/a),No,No,(201) 652-9000
63,Bernards High School,Public,12-Sep,25 Olcott Avenue,Bernardsville,7924,No,(n/a),No,No,(908) 630-3000
64,West Windsor-Plainsboro High School North,Public,12-Sep,90 Grovers Mill Road,Plainsboro,8536,No,(n/a),No,Yes,(609) 716-5100
65,Pequannock Township High School,Public,12-Sep,85 Sunset Road,Pompton Plains,7444,No,(n/a),No,Yes,(973) 616-6000
66,Toms River High School North,Public,12-Sep,1245 Old Freehold Road,Toms River,8753,No,(n/a),No,No,(732) 505-5702
67,Hackettstown High School,Public,12-Sep,599 Warren Street,Hackettstown,7840,No,(n/a),No,No,(908) 852-8150
68,Bard Early College High School,Public,12-Sep,321 Bergen Street,Newark,7103,No,(n/a),No,Yes,(212) 995-8479
69,New Providence High School,Public,12-Sep,35 Pioneer Dr,New Providence,7974,No,(n/a),No,Yes,(908) 464-4700
70,Westfield Senior High School,Public,12-Sep,550 Dorian Road,Westfield,7090,No,(n/a),No,No,(908) 789-4500
71,Matawan Regional High School,Public,12-Sep,450 Atlantic Avenue,Aberdeen,7747,No,(n/a),No,No,(732) 705-5200
72,Ridgefield Park Junior Senior High School,Public,12-Jul,1 Ozzie Nelson Drive,Ridgefield Park,7660,No,(n/a),No,Yes,(201) 440-1440
73,Cedar Grove High School,Public,12-Sep,90 Rugby Road,Cedar Grove,7009,No,(n/a),No,No,(973) 239-6400
74,Paramus High School,Public,12-Sep,99 East Century Road,Paramus,7652,No,(n/a),No,Yes,(201) 261-7800
75,Technology High School,Public,12-Sep,223 Broadway,Newark,7102,No,(n/a),No,Yes,(973) 481-5962
76,Fort Lee High School,Public,12-Sep,3000 Lemoine Ave,Fort Lee,7024,No,(n/a),No,Yes,(201) 585-4675
77,Ramsey High School,Public,12-Sep,256 E Main Street,Ramsey,7446,No,(n/a),No,No,(201) 785-2300
78,High Technical High School,Public,12-Sep,1 High Tech Way,Secaucus,7094,No,(n/a),No,Yes,(201) 662-6801
79,Tenafly High School,Public,12-Sep,19 Columbus Drive,Tenafly,7670,No,(n/a),No,No,(201) 816-6614
80,Pompton Lakes High School,Public,12-Sep,44 Lakeside Avenue,Pompton Lakes,7442,No,(n/a),No,No,(973) 835-7100
81,Scotch Plains-Fanwood High School,Public,12-Sep,667 Westfield Road,Scotch Plains,7076,No,(n/a),No,Yes,(908) 889-8600
82,Phillipsburg High School,Public,12-Sep,1 Stateliner Blvd.,Phillipsburg,8865,No,(n/a),No,No,(908) 454-3400
83,Middletown High School South,Public,12-Sep,900 Nut Swamp Road,Middletown,7748,No,(n/a),No,No,(732) 706-6111
84,Indian Hills High School,Public,12-Sep,97 Yawpo Ave,Oakland,7436,No,(n/a),No,Yes,(201) 337-0100
85,Holmdel High School,Public,12-Sep,36 Crawfords Corner Road,Holmdel,7733,No,(n/a),No,Yes,(732) 946-1832
86,Northern Valley Regional High School At Demarest,Public,12-Sep,150 Knickerbocker Road,Demarest,7627,No,(n/a),No,No,(201) 768-3200
87,Madison High School,Public,12-Sep,170 Ridgedale Avenue,Madison,7940,No,(n/a),No,No,(973) 593-3117
88,Fair Lawn High School,Public,12-Sep,14 00 Berdan Avenue,Fair Lawn,7410,No,(n/a),No,Yes,(201) 794-5455
89,Robbinsville High School,Public,12-Sep,155 Robbinsville Edinburg Rd,Robbinsville,8691,No,(n/a),No,No,(609) 632-0950
90,Bayonne High School,Public,12-Sep,669 Avenue A,Bayonne,7002,No,(n/a),No,No,(201) 858-5900
91,Bergenfield High School,Public,12-Sep,80 S Prospect Ave,Bergenfield,7621,No,(n/a),No,Yes,(201) 385-8600
92,Highland Park High School,Public,12-Sep,102 North Fifth Avenue,Highland Park,8904,No,(n/a),No,Yes,(732) 572-2400
93,Secaucus High School,Public,12-Sep,11 Mill Ridge Road,Secaucus,7094,No,(n/a),No,Yes,(201) 974-2033
94,Governor Livingston High School,Public,12-Sep,175 Watchung Boulevard,Berkeley Heights,7922,No,(n/a),No,Yes,(908) 464-3100
95,Pascack Valley High School,Public,12-Sep,200 Piermont Avenue,Hillsdale,7642,No,(n/a),No,No,(201) 358-7060
96,Northern Valley Regional High School at Old Tappan,Public,12-Sep,140 Central Avenue,Old Tappan,7675,No,(n/a),No,Yes,(201) 784-1600
97,Vernon Township High School,Public,12-Sep,1832 Route 565,Vernon,7462,No,(n/a),No,No,(973) 764-2960
98,Somerset County Vocational Technical High School,Public,12-Sep,14 Vogt Drive,Bridgewater,8807,No,(n/a),No,Yes,(908) 526-8900
99,Freehold Borough High School,Public,12-Sep,2 Robertsville Road,Freehold,7728,No,(n/a),No,Yes,(732) 431-8360
100,Emerson Junior Senior High,Public,12-Jul,131 Main Street,Emerson,7630,No,(n/a),No,Yes,(201) 262-4447
101,Morris Hills High School,Public,12-Sep,520 West Main Street,Rockaway,7866,(n/a),No,Yes,(973) 664-2301,
102,Haddonfield Memorial High School,Public,12-Sep,401 Kings Highway East,Haddonfield,8033,(n/a),No,No,(856) 429-3960,
103,Red Bank Regional High School,Public,12-Sep,101 Ridge Road,Little Silver,7739,(n/a),No,Yes,(732) 842-8000,
104,Verona High School,Public,12-Sep,151 Fairview Ave,Verona,7044,(n/a),No,No,(973) 571-6750,
105,Manalapan High School,Public,12-Sep,20 Church Lane,Englishtown,7726,(n/a),No,No,(732) 792-7200,
106,Morris Knolls High School,Public,12-Sep,50 Knoll Drive,Denville,7834,(n/a),No,No,(973) 664-2201,
107,Henry Hudson Regional School,Public,12-Jul,1 Grand Tour,Highlands,7732,(n/a),No,Yes,(732) 872-0900,
108,Bridgewater-Raritan High School,Public,12-Sep,600 Garretson Road,Bridgewater,8807,(n/a),No,No,(908) 231-8660,
109,Montville Township High School,Public,12-Sep,100 Horseneck Road,Montville,7045,(n/a),No,No,(973) 331-7100,
110,Allentown High School,Public,12-Sep,27 High Street,Allentown,8501,(n/a),No,Yes,(609) 259-7292,
111,South River High School,Public,12-Sep,11 Montgomery Street,South River,8882,(n/a),No,Yes,(732) 613-4014,
112,Lyndhurst High School,Public,12-Sep,400 Weart Avenue,Lyndhurst,7071,(n/a),No,No,(201) 896-2100,
113,Union City High School,Public,12-Sep,2500 Kennedy Blvd,Union City,7087,(n/a),No,Yes,(201) 330-8678,
114,Metuchen High School,Public,12-Sep,400 Grove Ave,Metuchen,8840,(n/a),No,Yes,(732) 321-8744,
115,Cherokee High School,Public,12-Sep,120 Tomlinson Mill Road,Marlton,8053,(n/a),No,No,(856) 983-5140,
116,Great Oaks Legacy Charter School,"Public, Charter, Alternative","PK, KG-12",24 Maiden Lane,Newark,7102,(n/a),No,Yes,(973) 565-9170,
117,Midland Park Junior/Senior High School,Public,12-Jul,250 Prospect St,Midland Park,7432,(n/a),No,Yes,(201) 444-7400,
118,Edison High School,Public,12-Sep,50 Boulevard Of The Eagles,Edison,8817,(n/a),No,Yes,(732) 650-5200,
119,East Brunswick High School,Public,12-Oct,380 Cranbury Road,E Brunswick,8816,(n/a),No,No,(732) 613-6904,
120,Cinnaminson High School,Public,12-Sep,1197 Riverton Road,Cinnaminson,8077,(n/a),No,Yes,(856) 829-7770,
121,High Point Regional High School District,Public,12-Sep,299 Pidgeon Hill Road,Sussex,7461,(n/a),No,Yes,(973) 875-3101,
122,Wallkill Valley Regional High School,Public,12-Sep,10 Grumm Road,Hamburg,7419,(n/a),No,Yes,(973) 827-4100,
123,Toms River High School East,Public,12-Sep,1225 Raider Way,Toms River,8753,(n/a),No,No,(732) 505-5665,
124,Delaware Valley Regional High School,Public,12-Sep,19 Senator Stout Rd,Frenchtown,8825,(n/a),No,Yes,(908) 996-2131,
125,Old Bridge High School,Public,12-Sep,4209 Route 516,Matawan,7747,(n/a),No,No,(732) 290-3900,
126,Wayne Hills High School,Public,12-Sep,272 Berdan Avenue,Wayne,7470,(n/a),No,No,(973) 317-2000,
127,Clearview Regional High School,Public,12-Sep,625 Breakneck Rd,Mullica Hill,8062,(n/a),No,Yes,(856) 223-2790,
128,Marlboro High School,Public,12-Sep,95 North Main Street,Marlboro,7746,(n/a),No,No,(732) 617-8393,
129,Eastern Regional High School,Public,12-Sep,1401 Laurel Oak Road,Voorhees,8043,(n/a),No,Yes,(856) 784-4441,
130,University High School,Public,12-Jul,55 Clinton Pl,Newark,7108,(n/a),No,Yes,(973) 374-3190,
131,Hammonton High School,Public,12-Sep,566 Old Forks Road,Hammonton,8037,(n/a),No,Yes,(609) 567-7000,
132,Hopewell Valley Central High School,Public,12-Sep,259 Pennington Titusville Rd,Pennington,8534,(n/a),No,No,(609) 737-4003,
133,Hillsborough High School,Public,12-Sep,466 Raider Boulevard,Hillsborough,8844,(n/a),No,No,(908) 431-6600,
134,Seneca High School,Public,12-Sep,110 Carranza Road,Tabernacle,8088,(n/a),No,Yes,(609) 268-4600,
135,Lenape High School,Public,12-Sep,235 Hartford Road,Medford,8055,(n/a),No,Yes,(609) 654-5111,
136,Haddon Township High School,Public,12-Sep,406 Memorial Avenue,Westmont,8108,(n/a),No,No,(856) 869-7750,
137,Kinnelon High School,Public,12-Sep,121 Kinnelon Road,Kinnelon,7405,(n/a),No,Yes,(973) 838-5500,
138,Cresskill High School,Public,12-Sep,1 Lincoln Dr,Cresskill,7626,(n/a),No,No,(201) 227-7791,
139,Academy of Law & Public Safety,Public,12-Nov,255 West End Avenue,Long Branch,7740,(n/a),No,No,(732) 229-2446,
140,Jonathan Dayton High School,Public,12-Sep,139 Mountain Ave.,Springfield,7081,(n/a),No,Yes,(973) 376-1025,
141,Palisades Park Junior-Senior High School,Public,12-Jul,Veterans Plaza,Palisades Park,7650,(n/a),No,Yes,(201) 941-1100,
142,Manasquan High School,Public,12-Sep,167 Broad Street,Manasquan,8736,(n/a),No,No,(732) 528-8820,
143,Kingsway Regional High School,Public,12-Sep,201 Kings Highway,Woolwich Twp,8085,(n/a),No,Yes,(856) 467-3300,
144,Hightstown High School,Public,12-Sep,25 Leshin Lane,Hightstown,8520,(n/a),No,Yes,(609) 443-7738,
145,Shawnee High School,Public,12-Sep,600 Tabernacle Road,Medford,8055,(n/a),No,No,(609) 654-7544,
146,North Brunswick Township High School,Public,12-Sep,98 Raider Road,North Brunswick,8902,(n/a),No,No,(732) 289-3702,
147,Elizabeth High School - Frank J Cicarell Academy,Public,12-Sep,40 Morrell Street,Elizabeth,7202,(n/a),No,Yes,(908) 436-5870,
148,Hawthorne High School,Public,12-Sep,160 Parmelee Avenue,Hawthorne,7506,(n/a),No,No,(973) 423-6415,
149,Passaic County Technical Institute,Public,12-Sep,45 Reinhardt Road,Wayne,7470,(n/a),No,Yes,(973) 790-6000,
150,James Caldwell High School,Public,12-Sep,265 Westville Ave,West Caldwell,7006,(n/a),No,No,(973) 228-6981,
151,Ridgefield Memorial High School,Public,12-Sep,555 Walnut St,Ridgefield,7657,(n/a),No,No,(201) 945-4455,
152,Watchung Hills Regional High School,Public,12-Sep,108 Stirling Rd.,Warren,7059,(n/a),No,Yes,(908) 647-4800,
153,North Warren Regional School,Public,12-Jul,10 Noe Rd,Blairstown,7825,(n/a),No,Yes,(908) 362-8211,
154,Collingswood High School,Public,12-Sep,424 Collings Ave,Collingswood,8108,(n/a),No,Yes,(856) 962-5701,
155,Southern Regional High School,Public,12-Sep,90 Cedar Bridge Road,Manahawkin,8050,(n/a),No,Yes,(609) 597-9481,
156,Freehold Township High School,Public,12-Sep,281 Elton Adelphia Road,Freehold,7728,(n/a),No,Yes,(732) 431-8460,
157,North Arlington High School,Public,12-Sep,222 Ridge Road,North Arlington,7031,(n/a),No,Yes,(201) 991-6800,
158,West Essex High School,Public,12-Sep,65 West Greenbrook Rd,North Caldwell,7006,(n/a),No,Yes,(973) 228-1200,
159,Sussex County Technical School,Public,12-Sep,105 North Church Road,Sparta,7871,(n/a),No,Yes,(973) 383-6700,
160,Audubon Junior/Senior High School,Public,12-Jul,350 Edgewood Avenue,Audubon,8106,(n/a),No,Yes,(856) 547-7695,
161,Hamilton North - Nottingham,Public,12-Sep,1055 Klockner Road,Hamilton,8619,(n/a),No,No,(609) 631-4161,
162,Butler High School,Public,12-Sep,38 Bartholdi Avenue,Butler,7405,(n/a),No,Yes,(973) 492-2000,
163,Liberty High School,Public,12-Sep,299 Sip Avenue,Jersey City,7306,(n/a),No,Yes,(201) 714-4373,
164,Spotswood High School,Public,12-Sep,105 Summerhill Road,Spotswood,8884,(n/a),No,No,(732) 723-2200,
165,Winslow Township High School,Public,12-Sep,10 Cooper Folly Road,Atco,8004,(n/a),No,Yes,(856) 767-1850,
166,Sayreville War Memorial High School,Public,12-Sep,820 Washington Road,Parlin,8859,(n/a),No,No,(732) 525-5252,
167,Piscataway Township High School,Public,12-Sep,100 Behmer Road,Piscataway,8854,(n/a),No,Yes,(732) 981-0700,
168,Dwight Morrow High School/Academies@Englewood,Public,12-Sep,274 Knickerbocker Rd,Englewood,7631,(n/a),No,Yes,(201) 862-6039,
169,Middletown High School North,Public,12-Sep,63 Tindall Road,Middletown,7748,(n/a),No,No,(732) 706-6061,
170,Newton High School,Public,12-Sep,44 Ryerson Avenue,Newton,7860,(n/a),No,No,(973) 383-7573,
171,Rutherford High School,Public,12-Sep,56 Elliott Pl,Rutherford,7070,(n/a),No,No,(201) 438-7675,
172,Colts Neck High School,Public,12-Sep,59 Five Points Road,Colts Neck,7722,(n/a),No,No,(732) 761-0190,
173,Bogota Junior/Senior High School,Public,12-Jul,2 Henry C Luthin Place,Bogota,7603,(n/a),No,No,(201) 441-4808,
174,Hamilton East - Steinert,Public,12-Sep,2900 Klockner Road,Hamilton,8690,(n/a),No,No,(609) 631-4150,
175,Morristown High School,Public,12-Sep,50 Early Street,Morristown,7960,(n/a),No,No,(973) 292-2000,
176,Nutley High School,Public,12-Sep,300 Franklin Ave,Nutley,7110,(n/a),No,Yes,(973) 661-8824,
177,Atlantic County Institute of Technology,Public,12-Sep,5080 Atlantic Avenue,Mays Landing,8330,(n/a),No,Yes,(609) 625-2249,
178,Woodstown High School,Public,12-Sep,140 East Avenue,Woodstown,8098,(n/a),No,Yes,(856) 769-0144,
179,Cumberland Regional High School,Public,12-Sep,90 Silver Lake Road,Bridgeton,8302,(n/a),No,Yes,(856) 451-9400,
180,Absegami High School,Public,12-Sep,201 S Wrangleboro Road,Galloway,8205,(n/a),No,Yes,(609) 652-1372,
181,Point Pleasant Borough High School,Public,12-Sep,Laura Herbert Dr,Point Pleasant Beach,8742,(n/a),No,No,(732) 701-1900,
182,West Deptford High School,Public,12-Sep,1600 Old Crown Point Rd,West Deptford,8093,(n/a),No,No,(856) 848-6110,
183,Alexander Hamilton Preparatory Academy,Public,12-Sep,310 Cherry St,Elizabeth,7208,(n/a),No,Yes,(908) 436-6100,
184,Wallington Junior Senior High School,Public,12-Jul,234 Main Ave,Wallington,7057,(n/a),No,No,(973) 777-0808,
185,Kittatinny Regional High School,Public,12-Jul,77 Halsey Road,Newton,7860,(n/a),No,Yes,(973) 383-1800,
186,Columbia High School,Public,12-Sep,17 Parker Ave,Maplewood,7040,(n/a),No,No,(973) 762-5600,
187,Weehawken High School,Public,12-Jul,53 Liberty Place,Weehawken,7086,(n/a),No,Yes,(201) 422-6130,
188,Lakeland Regional High School,Public,12-Sep,205 Conklintown Road,Wanaque,7465,(n/a),No,Yes,(973) 835-1900,
189,Salem County Career and Technical High School,Public,12-Sep,880 Route 45,Woodstown,8098,(n/a),No,No,(856) 769-0101,
190,Florence Township Memorial High School,Public,12-Sep,1050 Cedar Lane,Burlington,8016,(n/a),No,Yes,(609) 499-4620,
191,Maple Shade High School,Public,12-Jul,180 Frederick Ave,Maple Shade,8052,(n/a),No,Yes,(856) 779-2880,
192,West Orange High School,Public,12-Sep,51 Conforti Ave,West Orange,7052,(n/a),No,No,(973) 669-5301,
193,Burlington City High School,Public,12-Jul,100 Blue Devil WAy,Burlington,8016,(n/a),No,Yes,(609) 387-5800,
194,Essex County Newark Technical,Public,12-Sep,91 West Market Street,Newark,7103,(n/a),No,Yes,(973) 412-2204,
195,Henry P. Becton Regional High School,Public,12-Sep,120 Paterson Avenue,East Rutherford,7073,(n/a),No,Yes,(201) 935-3007,
196,Wood-Ridge Junior/Senior High School,Public,12-Jul,258 Hackensack St,Wood Ridge,7075,(n/a),No,Yes,(201) 933-6777,
197,Dr. Charles E. Brimm Medical Arts High School,Public,12-Sep,1626 Copewood Street,Camden,8103,(n/a),No,Yes,(856) 966-2500,
198,Cicely L. Tyson Community Middle/High School,Public,12-Jun,35 Winans Street,East Orange,7017,(n/a),No,Yes,(973) 414-8600,
199,Hanover Park High School,Public,12-Sep,63 Mt Pleasant Avenue,East Hanover,7936,(n/a),No,No,(973) 887-0300,
200,South Brunswick High School,Public,12-Sep,750 Ridge Road,Monmouth Junction,8852,(n/a),No,No,(732) 329-4044,
201,Egg Harbor Township High School,Public,12-Sep,24 High School Drive,Egg Harbor Township,8234,(n/a),No,No,(609) 653-0100,
202,Delsea Regional High School,Public,12-Sep,242 Fries Mill Rd,Franklinville,8322,(n/a),No,Yes,(856) 694-0100,
203,Wayne Valley High School,Public,12-Sep,551 Valley Road,Wayne,7470,(n/a),No,Yes,(973) 317-2200,
204,Dover High School,Public,12-Sep,100 Grace Street,Dover,7801,(n/a),No,Yes,(973) 989-2010,
205,Roxbury High School,Public,12-Sep,One Bryant Drive,Succasunna,7876,(n/a),No,No,(973) 584-1200,
206,Arts High School,Public,12-Jul,550 M L King Blvd,Newark,7102,(n/a),No,Yes,(973) 733-7391,
207,Essex County Donald M. Payne Senior School of Technology,Public,12-Sep,498-544 West Market St,Newark,7107,(n/a),No,Yes,(973) 412-2203,
208,Hopatcong High School,Public,12-Sep,2A Windsor Ave,Hopatcong,7843,(n/a),No,No,(973) 398-8803,
209,Franklin High School,Public,12-Sep,500 Elizabeth Avenue,Somerset,8873,(n/a),No,No,(732) 302-4200,
210,Lower Cape May Regional High School,Public,12-Sep,687 Rt 9,Cape May,8204,(n/a),No,Yes,(609) 884-3475,
211,Teaneck High School,Public,12-Sep,100 Elizabeth Ave,Teaneck,7666,(n/a),No,No,(201) 833-5400,
212,John F. Kennedy Memorial High School,Public,12-Sep,200 Washington Avenue,Iselin,8830,(n/a),No,No,(732) 602-8650,
213,Cedar Creek High School,Public,12-Sep,1701 New York Ave.,Egg Harbor City,8215,(n/a),No,Yes,(609) 593-3560,
214,Washington Township High School,Public,12-Sep,519 Hurffville Crosskeys Rd,Sewell,8080,(n/a),No,No,(856) 589-8500,
215,Mainland Regional High School,Public,12-Sep,1301 Oak Avenue,Linwood,8221,(n/a),No,Yes,(609) 927-4151,
216,Hasbrouck Heights High School,Public,12-Sep,365 Boulevard,Hasbrouck Heights,7604,(n/a),No,No,(201) 288-6150,
217,West Milford High School,Public,12-Sep,67 Highlander Drive,West Milford,7480,(n/a),No,No,(973) 838-6515,
218,Memorial Senior High School,Public,12-Sep,375 River Dr,Elmwood Park,7407,(n/a),No,No,(201) 796-8700,
219,Cranford High School,Public,12-Sep,201 West End Place,Cranford,7016,(n/a),No,No,(908) 709-6272,
220,North Plainfield Middle School,Public,12-Sep,34 Wilson Avenue,North Plainfield,7060,(n/a),No,No,(908) 769-6040,
221,William L Dickinson High School,Public,12-Sep,2 Palisade Ave,Jersey City,7306,(n/a),No,Yes,(201) 714-4400,
222,Brick Township High School,Public,12-Sep,346 Chambers Bridge Rd,Brick,8723,(n/a),No,No,(732) 785-3000,
223,Warren Hills Regional High School,Public,12-Sep,41 Jackson Valley Road,Washington,7882,(n/a),No,No,(908) 689-3050,
224,American History High School,Public,12-Jul,74 Montgomery St,Newark,7103,(n/a),No,Yes,(973) 733-7333,
225,Shore Regional High School,Public,12-Sep,132 Monmouth Park Highway 36,West Long Branch,7764,(n/a),No,Yes,(732) 222-9300,
226,Millville Senior High School,Public,12-Sep,200 Wade Blvd,Millville,8332,(n/a),No,Yes,(856) 327-6040,
